Model,Accuracy,F1-Score,Precision,Recall,Training Time (s),Parameters
Baseline_CNN,0.32,0.2974043111881313,0.3318162882868765,0.32,0.0,7177138
CNN_Augmented,0.04666666666666667,0.015734767025089608,0.01634054834054834,0.04666666666666667,0.0,7177138
CNN_LSTM,0.46,0.4330882595665204,0.4710648926237162,0.46,0.0,636850
Transfer_Learning,0.54,0.5275591336767808,0.5673290043290043,0.54,1152.9870960712433,2428402
